['Patrick Wiercioch', 'OTT', 'D', 96]
['Steve Oleksy', 'WSH', 'D', 86]
['Justin Abdelkader', 'DET', 'LW', 75]
['Antoine Roussel', 'DAL', 'LW', 72]
['Jared Spurgeon', 'MIN', 'D', 71]
['Nick Foligno', 'CBJ', 'LW', 69]
['Gabriel Bourque', 'NSH', 'LW', 69]
['Vladimir Sobotka', 'STL', 'C', 67]
['Jannik Hansen', 'VAN', 'RW', 67]
['Carl Gunnarsson', 'TOR', 'D', 67]
['B.J. Crombeen', 'TBL', 'RW', 66]
['Shawn Matthias', 'FLA', 'C', 65]
['Kyle Okposo', 'NYI', 'RW', 64]
['Tyson Strachan', 'FLA', 'D', 63]
['Mika Zibanejad', 'OTT', 'C', 61]
['Shawn Thornton', 'BOS', 'LW', 60]
['Colin McDonald', 'NYI', 'RW', 58]
['Brandon Saad', 'CHI', 'LW', 58]
['Matt Irwin', 'SJS', 'D', 58]
['Andrew MacDonald', 'NYI', 'D', 55]
['Jakub Kindl', 'DET', 'D', 54]
['Eric Gryba', 'OTT', 'D', 54]
['Bryan Bickell', 'CHI', 'LW', 53]
['Brian Gionta', 'MTL', 'RW', 53]
['Brent Burns', 'SJS', 'D', 53]
['Marcel Goc', 'FLA', 'C', 52]
['Jason Garrison', 'VAN', 'D', 52]
['Martin Hanzal', 'PHX', 'C', 51]
['David Moss', 'PHX', 'RW', 51]
['Matt Calvert', 'CBJ', 'LW', 50]
['Cody McLeod', 'COL', 'LW', 49]
['David Legwand', 'NSH', 'C', 46]
['Adam McQuaid', 'BOS', 'D', 45]
['Beau Bennett', 'PIT', 'RW', 45]
['Grant Clitsome', 'WPG', 'D', 44]
['Andrew Ference', 'BOS', 'D', 44]
['Filip Kuba', 'FLA', 'D', 44]
['Magnus Paajarvi', 'EDM', 'LW', 44]
['Luca Sbisa', 'ANA', 'D', 43]
['Roman Polak', 'STL', 'D', 42]
['Kris Russell', 'STL', 'D', 42]
['Dustin Penner', 'LAK', 'LW', 41]
['Jack Skille', 'FLA', 'RW', 40]
['Eric Fehr', 'WSH', 'RW', 40]
['Clayton Stoner', 'MIN', 'D', 39]
['Eric Nystrom', 'DAL', 'LW', 38]
['Matt Beleskey', 'ANA', 'LW', 37]
['Mark Giordano', 'CGY', 'D', 37]
['Ben Lovejoy', 'ANA', 'D', 37]
['Matt Niskanen', 'PIT', 'D', 37]
['Michael Stone', 'PHX', 'D', 37]
['Daniel Winnik', 'ANA', 'LW', 36]
['Viktor Stalberg', 'CHI', 'LW', 36]
['Blake Comeau', 'CGY', 'LW', 36]
['Ryane Clowe', 'SJS', 'LW', 35]
['Derick Brassard', 'CBJ', 'C', 35]
['Mike Brown', 'EDM', 'RW', 35]
['Cal Clutterbuck', 'MIN', 'RW', 34]
['Chuck Kobasew', 'COL', 'RW', 34]
['Fedor Tyutin', 'CBJ', 'D', 33]
['Rostislav Klesla', 'PHX', 'D', 33]
['Travis Hamonic', 'NYI', 'D', 31]
['Jiri Hudler', 'CGY', 'LW', 31]
