Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
1,"Sidney Crosby",PIT,C,192,14,,,,6,19,19,8,47,5,8,10,161
2,"P.K. Subban",MTL,D,175,13,,,,7,8,6,8,49,10,19,19,0
3,"Alex Ovechkin",WSH,LW,174,14,,,,8,9,3,8,59,6,39,8,0
4,"Chris Kunitz",PIT,LW,159,14,,,,11,9,16,4,35,3,32,7,0
5,"Pascal Dupuis",PIT,LW,153,14,,,,10,4,19,8,62,0,28,7,4
6,"Dustin Brown",LAK,RW,143,15,,,,7,4,8,6,50,4,53,3,5
7,"Ryan Getzlaf",ANA,C,142,14,,,,5,10,1,27,32,3,34,13,93
8,"Shea Weber",NSH,D,142,13,,,,4,8,1,17,33,6,25,25,0
9,"Evander Kane",WPG,LW,133,15,,,,4,3,-4,22,66,1,54,6,4
10,"Jake Muzzin",LAK,D,131,15,,,,4,6,10,27,26,4,25,10,0
11,"Dion Phaneuf",TOR,D,129,13,,,,3,8,4,13,19,4,43,26,0
12,"Patrice Bergeron",BOS,C,127,15,,,,6,11,12,6,33,2,11,9,214
13,"Zdeno Chara",BOS,D,124,15,,,,3,3,8,23,37,1,42,19,0
14,"Chris Neil",OTT,RW,123,13,,,,0,5,2,28,19,3,72,5,0
15,"Rick Nash",NYR,LW,121,14,,,,8,6,2,8,47,4,10,14,1
16,"Dustin Byfuglien",WPG,D,120,15,,,,3,8,-3,6,59,5,23,19,0
17,"Alexander Semin",CAR,RW,118,13,,,,5,11,2,20,42,2,6,10,1
18,"Pavel Datsyuk",DET,LW,114,13,,,,3,10,6,2,25,4,8,15,143
19,"Mikko Koivu",MIN,C,113,12,,,,6,10,10,6,34,4,12,6,120
20,"David Backes",STL,RW,113,13,,,,0,5,-2,18,34,0,55,13,129
21,"Anze Kopitar",LAK,C,112,15,,,,4,10,7,2,32,4,24,11,149
22,"Ryan Suter",MIN,D,112,12,,,,3,11,6,8,23,7,8,15,0
